Location,Age,year,Female,Male
More developed regions,50-54,2040,0.03344622674486348,0.033447780323921233
More developed regions,50-54,2045,0.031224601012066953,0.03163098481899572
More developed regions,50-54,2050,0.028963755264042004,0.029352845121922634
More developed regions,50-54,2055,0.02877210499090643,0.0291480929404534
More developed regions,50-54,2060,0.030243771553935147,0.030647821523552485
More developed regions,50-54,2065,0.03037100278184643,0.030787565638404398
More developed regions,50-54,2070,0.029734507065274154,0.030151494977408502
More developed regions,50-54,2075,0.029087529925154097,0.02954456136587568
More developed regions,50-54,2080,0.028593442136141286,0.02908943526607463
More developed regions,50-54,2085,0.028396626745046907,0.028929575947672908
More developed regions,50-54,2090,0.028563454638605622,0.029135302818141823
More developed regions,50-54,2095,0.02877712304357056,0.029385039466320144
More developed regions,50-54,2100,0.028740726691457105,0.02937562334394441
More developed regions,55-59,1950,0.024340345106894774,0.019843646449522592
More developed regions,55-59,1955,0.02567125157618315,0.02106474786853765
More developed regions,55-59,1960,0.02766752696855442,0.023065548456094594
More developed regions,55-59,1965,0.028669886119111466,0.023784842917204622
More developed regions,55-59,1970,0.028927476044991685,0.023099737915401115
More developed regions,55-59,1975,0.023439213898326424,0.018964836410044122
More developed regions,55-59,1980,0.02918035390157747,0.023320463177875887
More developed regions,55-59,1985,0.029748053844677158,0.026235196391696164
More developed regions,55-59,1990,0.027097973828251173,0.024885858700491485
More developed regions,55-59,1995,0.028777747374901665,0.026400622498888394
More developed regions,55-59,2000,0.026657724378366505,0.02475846985890651
More developed regions,55-59,2005,0.03224325884417481,0.03011956527132501
More developed regions,55-59,2010,0.03401610666943102,0.031508753061303824
More developed regions,55-59,2015,0.0349087511807477,0.03261768284579495
More developed regions,55-59,2020,0.03497902310992016,0.03319940375683457
More developed regions,55-59,2025,0.03305496206794839,0.03174400039953117
More developed regions,55-59,2030,0.03303556431997313,0.03175874489116708
More developed regions,55-59,2035,0.03244141314938531,0.03119145682021979
More developed regions,55-59,2040,0.032942867130151085,0.03203946090806696
More developed regions,55-59,2045,0.03312261580381472,0.032658622031919035
More developed regions,55-59,2050,0.031005305060512068,0.031040463782609714
More developed regions,55-59,2055,0.02882862092486756,0.028922814148136113
More developed regions,55-59,2060,0.028679656241861785,0.028779879574169213
More developed regions,55-59,2065,0.030165498439277832,0.030287690210534835
More developed regions,55-59,2070,0.03029421168156156,0.030436928385714615
More developed regions,55-59,2075,0.02965181567946008,0.029819900797763987
More developed regions,55-59,2080,0.02899473107621681,0.029230688972981214
More developed regions,55-59,2085,0.02849067660433385,0.028786491546364572
More developed regions,55-59,2090,0.028282758415457757,0.02863021047391013
More developed regions,55-59,2095,0.02844341230886014,0.028836628090241817
More developed regions,55-59,2100,0.028660360026585292,0.02909594735019051
More developed regions,60-64,1950,0.021302864436317223,0.016959573893620676
More developed regions,60-64,1955,0.021617713406522215,0.016887428710248373
More developed regions,60-64,1960,0.02299570576584147,0.017872089660553613
More developed regions,60-64,1965,0.024862821531433113,0.01967259244545966
More developed regions,60-64,1970,0.026190610767184985,0.02057111238699275
More developed regions,60-64,1975,0.026498120017474012,0.020200035482166395
More developed regions,60-64,1980,0.02182848532857673,0.016794906594431305
More developed regions,60-64,1985,0.0271295576993116,0.02071473552202174
More developed regions,60-64,1990,0.02785746086895793,0.02344807116480869
More developed regions,60-64,1995,0.02561138283681636,0.02243304716626193
More developed regions,60-64,2000,0.027430216912200923,0.024030576567221577
More developed regions,60-64,2005,0.025494246675939906,0.022767682147246063
More developed regions,60-64,2010,0.030499656615655735,0.02758979824550037
More developed regions,60-64,2015,0.0325436747335509,0.029089167042675623
More developed regions,60-64,2020,0.03353867805539281,0.030339918291439765
More developed regions,60-64,2025,0.03388367712262642,0.03126643579175062
More developed regions,60-64,2030,0.03219109056864343,0.030155333403835746
