sex,year,age,pop,pcnt
Female,2020,45-49,238134,0.030550366911274184
Female,2020,50-54,223163,0.028629727510648125
Female,2020,55-59,195634,0.025098014060655822
Female,2020,60-64,164961,0.02116295479037307
Female,2020,65-69,140704,0.018051008364550727
Female,2020,70-74,101491,0.013020346897931955
Female,2020,75-79,69027,0.008855519063991379
Female,2020,80-84,48282,0.006194129419613076
Female,2020,85-89,26429,0.0033905937291527685
Female,2020,90-94,11352,0.0014563555190639913
Female,2020,95-99,3056,3.920562426232873e-4
Female,2020,100+,449,5.760250423359162e-5
Female,2025,0-4,328585,0.04014754836467026
Female,2025,5-9,326047,0.039837447545249
Female,2025,10-14,320151,0.039117055728342884
Female,2025,15-19,308395,0.037680670687713934
Female,2025,20-24,293913,0.03591121439659549
Female,2025,25-29,287604,0.035140360941225635
Female,2025,30-34,287064,0.035074382043476425
Female,2025,35-39,294189,0.03594493694433397
Female,2025,40-44,265692,0.03246308389033574
Female,2025,45-49,241193,0.029469719045969574
Female,2025,50-54,233824,0.02856935145798091
Female,2025,55-59,217306,0.026551130285719173
Female,2025,60-64,187708,0.022934753590198958
Female,2025,65-69,154435,0.01886935384055222
Female,2025,70-74,126641,0.015473395536771933
Female,2025,75-79,85774,0.01048013699174103
Female,2025,80-84,52388,0.006400930546824552
Female,2025,85-89,30832,0.0037671506951915436
Female,2025,90-94,13178,0.0016101294713685185
Female,2025,95-99,3927,4.7981320640948336e-4
Female,2025,100+,670,8.186270646660399e-5
Female,2030,0-4,329569,0.03855290866710199
Female,2030,5-9,326298,0.03817026781116563
Female,2030,10-14,324902,0.038006964040182084
Female,2030,15-19,319007,0.03731736824509042
Female,2030,20-24,306985,0.03591103734626225
Female,2030,25-29,292505,0.03421717015153326
Female,2030,30-34,286057,0.03346288453885284
Female,2030,35-39,285015,0.033340991609508396
Female,2030,40-44,291422,0.03409048105126452
Female,2030,45-49,262344,0.03068894304792685
Female,2030,50-54,236909,0.027713562378180182
Female,2030,55-59,227924,0.026662499067086266
Female,2030,60-64,209026,0.024451815210319115
Female,2030,65-69,176357,0.020630202821879804
Female,2030,70-74,139651,0.016336343067064742
Female,2030,75-79,107622,0.012589597736955994
Female,2030,80-84,66046,0.0077260464601568045
Female,2030,85-89,34154,0.003995327359721944
Female,2030,90-94,15650,0.001830733535739545
Female,2030,95-99,4701,5.499219393937125e-4
Female,2030,100+,904,1.0574971989192005e-4
Female,2035,0-4,332059,0.03736237449260334
Female,2035,5-9,327450,0.0368437823627818
Female,2035,10-14,325198,0.036590393454915
Female,2035,15-19,323890,0.03644322085656253
Female,2035,20-24,317763,0.03575382750021266
Female,2035,25-29,305717,0.03439844438113472
Female,2035,30-34,291049,0.032748040961689664
Female,2035,35-39,284093,0.03196537078268368
Female,2035,40-44,282378,0.031772403652580855
Female,2035,45-49,287982,0.03240295047304514
Female,2035,50-54,257875,0.029015392813566524
Female,2035,55-59,231033,0.025995204063583962
Female,2035,60-64,219577,0.024706206137952484
Female,2035,65-69,197079,0.022174792439379067
Female,2035,70-74,160306,0.018037194611232554
Female,2035,75-79,119553,0.01345177802051505
Female,2035,80-84,83473,0.009392154665348864
Female,2035,85-89,43960,0.00494625949814594
Female,2035,90-94,17853,0.002008770946778878
Female,2035,95-99,5724,6.440488937076288e-4
Female,2035,100+,1140,1.282696958117919e-4
Female,2040,0-4,334481,0.03636117953452655
Female,2040,5-9,330143,0.03588959879654509
Female,2040,10-14,326445,0.03548759198025753
Female,2040,15-19,324243,0.03524821420592946
Female,2040,20-24,322712,0.035081780340127336
Female,2040,25-29,316541,0.03441093554204445
Female,2040,30-34,304284,0.033078486232353634
